t,RCoutput
1.059400000000000000e+04,9.205169303539684211e-01
1.059500000000000000e+04,7.542295403225374173e-03
1.059600000000000000e+04,1.305747088687962965e+00
1.059700000000000000e+04,-1.278510242882813674e+00
1.059800000000000000e+04,-9.346780481074308256e-01
1.059900000000000000e+04,-5.726198061068874523e-01
1.060000000000000000e+04,2.499419349790539258e-01
1.060100000000000000e+04,7.981389645802909882e-01
1.060200000000000000e+04,3.127412473027821882e-01
1.060300000000000000e+04,1.211336011392425860e+00
1.060400000000000000e+04,-7.084488201043503963e-01
1.060500000000000000e+04,5.771974473911800629e-01
1.060600000000000000e+04,4.083227345729678603e-01
1.060700000000000000e+04,9.942353869006153033e-01
1.060800000000000000e+04,-1.980684133707844019e-01
1.060900000000000000e+04,1.147174984184213820e+00
1.061000000000000000e+04,-1.037372680344634812e+00
1.061100000000000000e+04,-1.799354214119865958e-01
1.061200000000000000e+04,4.802833403882016405e-01
1.061300000000000000e+04,5.621471358580656386e-01
1.061400000000000000e+04,6.702806714744991012e-01
1.061500000000000000e+04,4.843910079116922063e-01
1.061600000000000000e+04,7.951607285380992707e-01
1.061700000000000000e+04,1.627309450437062210e-01
1.061800000000000000e+04,1.252503422375472741e+00
1.061900000000000000e+04,-1.099568776952365212e+00
1.062000000000000000e+04,-3.999603791103822914e-01
1.062100000000000000e+04,3.551064172986975187e-01
1.062200000000000000e+04,7.059723244391244990e-01
1.062300000000000000e+04,3.853566501621257245e-01
1.062400000000000000e+04,9.862768635818595087e-01
1.062500000000000000e+04,-2.336425558860533158e-01
1.062600000000000000e+04,1.237791791125851582e+00
1.062700000000000000e+04,-1.219351482471323855e+00
1.062800000000000000e+04,-6.998556720009059262e-01
1.062900000000000000e+04,-1.493311713748202152e-02
1.063000000000000000e+04,7.736985799651243667e-01
1.063100000000000000e+04,1.593466816423356747e-01
1.063200000000000000e+04,1.234663887138783167e+00
1.063300000000000000e+04,-9.640114908627959167e-01
1.063400000000000000e+04,3.461320241400578368e-02
1.063500000000000000e+04,7.538197004246240951e-01
1.063600000000000000e+04,3.105544414170733347e-01
1.063700000000000000e+04,1.114462124185503722e+00
1.063800000000000000e+04,-6.302592899451595621e-01
1.063900000000000000e+04,8.007238055624821271e-01
